"id","nsecode","name","bsecode","per_chg","close","volume","date","time","igroup_name","create_at"
"125","SUNTECK","Sunteck Realty Limited",512179,"0.08","630.55","7639","2024-07-18","09:21:12","Realty","2024-07-18 09:21:16.495873+05:30"
"126","VTL","Vardhman Textiles Limited",502986,"-0.05","558","1334","2024-07-18","09:21:12","Textiles","2024-07-18 09:21:16.495873+05:30"
"127","APOLLOTYRE","Apollo Tyres Limited",500877,"0","550.45","17292","2024-07-18","09:21:12","Tyres","2024-07-18 09:21:16.495873+05:30"
"128","GICRE","General Insurance Corporation of India",540755,"0.01","417.1","8435","2024-07-18","09:21:12","Insurance","2024-07-18 09:21:16.495873+05:30"
"129","INDIACEM","The India Cements Limited",530005,"0.74","325.55","188885","2024-07-18","09:21:12","Cement","2024-07-18 09:21:16.495873+05:30"
"130","CASTROLIND","Castrol India Limited",500870,"-0.23","270","58657","2024-07-18","09:21:12","Chemicals","2024-07-18 09:21:16.495873+05:30"
"131","MMTC","Mmtc Limited",513377,"0.24","91.19","32347","2024-07-18","09:21:12","Trading","2024-07-18 09:21:16.495873+05:30"
"132","LTIM","LTI Mindtree Ltd",540005,"2.47","5700","101329","2024-07-18","09:21:45","IT - Software","2024-07-18 09:21:49.637745+05:30"
"133","HCLTECH","Hcl Technologies Limited",532281,"-0.01","1569.4","134570","2024-07-18","09:21:45","IT - Software","2024-07-18 09:21:49.637745+05:30"
"134","IDBI","Idbi Bank Limited",500116,"4.39","91.74","2446604","2024-07-18","09:21:45","Banks","2024-07-18 09:21:49.637745+05:30"
"135","UTIAMC","UTI Asset Management Company Ltd",543238,"-4.43","1058.75","62490","2024-07-18","09:23:22","Finance","2024-07-18 09:23:36.525872+05:30"
"136","MARICO","Marico Limited",531642,"1.44","676.95","338196","2024-07-18","09:26:00","Edible Oil","2024-07-18 09:26:07.094728+05:30"
"137","GPIL","Godawari Power And Ispat Limited",532734,"-0.49","1147.2","58166","2024-07-18","09:30:05","Steel","2024-07-18 09:30:16.527427+05:30"
"138","GODFRYPHLP","Godfrey Phillips India Limited",500163,"-2.84","4313.6","104642","2024-07-18","13:40:23","Tobacco Products","2024-07-18 13:40:23.946413+05:30"
"139","SUNDRMFAST","Sundram Fasteners Limited",500403,"4.77","1447.65","568273","2024-07-18","13:40:23","Auto Ancillaries","2024-07-18 13:40:23.946413+05:30"
"221","LTIM","LTI Mindtree Ltd",540005,"0.1","5762.75","961356","2024-07-19","22:02:33","IT - Software","2024-07-20 22:02:33.169789+05:30"
"222","TCS","Tata Consultancy Services Limited",532540,"-0.3","4302.4","3903354","2024-07-19","22:02:33","IT - Software","2024-07-20 22:02:33.169789+05:30"
"223","SBILIFE","SBI Life Insurance Company Ltd",540719,"-0.73","1647.7","567209","2024-07-19","22:02:33","Insurance","2024-07-20 22:02:33.169789+05:30"
"224","HCLTECH","Hcl Technologies Limited",532281,"0","1594.55","5633838","2024-07-19","22:02:33","IT - Software","2024-07-20 22:02:33.169789+05:30"
